,,LIvro de Preço,,,,,
C.INTERNO,PRODUTO,,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000198,DOBRADICA FG 35 C/3,2917400000234,UN,0023,DIVERSOS,10.02
0000199,FERROLHO PINO DOB.NIQUELADO ,7899154828034,UN,2803,DIVERSOS,13.00
0000200,ISOPOR 1 X 0.40,1000000200102,UN,120,DIVERSOS,8.50
0000201,MALHA POP 3X2,1000000201925,UN,POP,DIVERSOS,45.00
0000202,ARAME GALVAN 16 1.65MM GERDAU ,7899192208409,RL,BWG16,DIVERSOS,28.00
0000204,CABO FLEX.  1.5MM AM.CORFIO   C100,7898169331058,RL,017908,DIVERSOS,1.90
0000205,CABO FLEX.  10MM VM.CORFIO   C100,7898410392272,M,017909,DIVERSOS,12.00
0000206,CABO FLEX.  1.5MM VD.CORFIO   C100,7898141661142,RL,017912,DIVERSOS,1.90
0000207,CABO FLEX.  2.5MM AM.CORFIO   C100,7898169332055,M,017914,DIVERSOS,2.90
0000208,CABO FLEX.  4.0MM AM.CORFIO   C100,7898410392470,M,017928,DIVERSOS,4.10
0000209,CABO FLEX.  4.0MM AZ. COBRECOM   ,7898259251976,M,017929,2-COBRECOM,4.10
0000210,CABO FLEX.  4.0MM VD.CORFIO   C100,7898410392425,RL,017932,DIVERSOS,4.10
0000211,MAKITA SERRA MARMO400G PRO ,088381689946,UN,062724,DIVERSOS,491.40
0000212,CABO RIGIDO 10MM VM CORFIO,7898258651517,RL,067706,DIVERSOS,12.00
0000213,CAIXA PADRAO COELBA MONO TAF,7898698342327,UN,094096,DIVERSOS,47.00
0000214,LAPIS CARPINTEIRO IRWIN C72,024721028150,CX,006706,DIVERSOS,3.00
0000215,ADAP.CX DAGUA 20X1/2 AJUS.VIQUA ,17898010800044,SC,020113,DIVERSOS,8.54
0000216,CANIVETE CARB.52/PPT.FI.C/BAI.CIMO,7896167000525,UN,068029,DIVERSOS,38.15
0000217,DUCHA HIGIENICA CROMADA SA ,2038030000002,UN,3803,DIVERSOS,60.00
0000218,G-LIGHT 20W T70 LED,7899605543769,UN, ,DIVERSOS,26.60
0000219,LAMPADA BULBO HIGH POWER 40W,7899452023421,UN,5343,DIVERSOS,60.00
